"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.706203,-0.0046924249,0,-35.81568,-1.2092586e-05,0
0.5,0,26.706451,-0.0048475521,0,-35.806451,-1.2564925e-05,0
0.5,0,26.706231,-0.0049963407,0,-35.797223,-1.3032641e-05,0
0.5,0,26.705603,-0.0051043721,0,-35.787994,-1.3498092e-05,0
0.5,0,26.704741,-0.005128177,0,-35.778766,-1.3959788e-05,0
0.5,0,26.70387,-0.0050353877,0,-35.769537,-1.4412839e-05,0
0.5,0,26.703199,-0.0048276941,0,-35.760309,-1.4851826e-05,0
0.5,0,26.702856,-0.0045422365,0,-35.75108,-1.5274753e-05,0
0.5,0,26.702887,-0.0042300457,0,-35.741852,-1.568492e-05,0
0.5,0,26.703248,-0.0039302133,0,-35.732623,-1.6088511e-05,0
0.5,0,26.703858,-0.0036681068,0,-35.723395,-1.6490306e-05,0
0.5,0,26.704625,-0.0034819648,0,-35.714167,-1.6892039e-05,0
0.5,0,26.705391,-0.0034480995,0,-35.704938,-1.7296342e-05,0
0.5,0,26.705949,-0.0036139421,0,-35.69571,-1.7711493e-05,0
0.5,0,26.706251,-0.0038927473,0,-35.686481,-1.8142223e-05,0
0.5,0,26.706392,-0.0041491178,0,-35.677253,-1.8575761e-05,0
0.5,0,26.706369,-0.0042954201,0,-35.668024,-1.8988846e-05,0
0.5,0,26.706181,-0.0043280936,0,-35.658796,-1.936329e-05,0
0.5,0,26.705914,-0.0043994973,0,-35.649567,-1.9687352e-05,0
0.5,0,26.705651,-0.0046028644,0,-35.640339,-1.9958527e-05,0
0.5,0,26.705504,-0.0048074582,0,-35.63111,-2.0189758e-05,0
0.5,0,26.705565,-0.0048621532,0,-35.621882,-2.0397499e-05,0
0.5,0,26.705927,-0.0046954484,0,-35.612653,-2.059297e-05,0
0.5,0,26.706746,-0.0043353436,0,-35.603425,-2.078237e-05,0
0.5,0,26.708056,-0.0039457353,0,-35.594196,-2.095647e-05,0
0.5,0,26.709596,-0.0036907051,0,-35.584968,-2.1095384e-05,0
0.5,0,26.710912,-0.003628543,0,-35.57574,-2.119504e-05,0
0.5,0,26.711591,-0.0037079609,0,-35.566511,-2.1276312e-05,0
0.5,0,26.711525,-0.0037659392,0,-35.557283,-2.1360087e-05,0
0.5,0,26.710867,-0.003659431,0,-35.548054,-2.1440919e-05,0
0.5,0,26.709857,-0.0033899056,0,-35.538826,-2.1499181e-05,0
0.5,0,26.708818,-0.0030569024,0,-35.529597,-2.152984e-05,0
0.5,0,26.70809,-0.0028305861,0,-35.520369,-2.1530967e-05,0
0.5,0,26.707853,-0.0028065932,0,-35.51114,-2.1483013e-05,0
0.5,0,26.708039,-0.0028324958,0,-35.501912,-2.1381683e-05,0
0.5,0,26.708477,-0.002775015,0,-35.492683,-2.1257563e-05,0
0.5,0,26.709001,-0.0027379265,0,-35.483455,-2.1133663e-05,0
0.5,0,26.709479,-0.002795167,0,-35.474226,-2.0999458e-05,0
0.5,0,26.709891,-0.0028394785,0,-35.464998,-2.0830394e-05,0
0.5,0,26.710305,-0.0027754302,0,-35.455769,-2.0608752e-05,0
0.5,0,26.710809,-0.0026346777,0,-35.446541,-2.0330079e-05,0
0.5,0,26.711492,-0.0024920216,0,-35.437312,-2.0002541e-05,0
0.5,0,26.71208,-0.0023986719,0,-35.428084,-1.9642452e-05,0
0.5,0,26.712335,-0.002371402,0,-35.418856,-1.926816e-05,0
